iter	Passed	Remaining
0	1	120
1	2	117
2	3	107
3	3	94
4	4	90
5	5	92
6	7	94
7	8	94
8	9	93
9	10	93
10	11	92
11	12	92
12	13	89
13	14	87
14	15	85
15	15	83
16	17	84
17	18	82
18	19	81
19	20	80
20	20	78
21	21	77
22	22	75
23	23	74
24	24	73
25	25	72
26	26	70
27	27	69
28	27	68
29	28	67
30	29	66
31	30	64
32	31	63
33	33	65
34	34	64
35	35	63
36	36	62
37	37	61
38	38	60
39	39	59
40	40	58
41	40	56
42	41	55
43	42	54
44	45	55
45	46	54
46	47	53
47	48	52
48	49	51
49	50	50
50	50	48
51	51	47
52	52	46
53	53	45
54	54	44
55	55	43
56	56	42
57	56	41
58	58	40
59	58	39
60	59	38
61	60	37
62	61	36
63	62	35
64	63	34
65	64	33
66	65	32
67	66	31
68	67	30
69	68	29
70	68	28
71	69	27
72	70	26
73	71	25
74	72	24
75	72	23
76	73	22
77	74	21
78	75	20
79	76	19
80	78	18
81	79	17
82	80	16
83	81	15
84	82	14
85	83	13
86	84	12
87	85	11
88	86	10
89	87	9
90	88	8
91	89	7
92	90	6
93	90	5
94	92	4
95	93	3
96	94	2
97	94	1
98	95	0
99	96	0
