iter	Passed	Remaining
0	137	137847
1	139	69516
2	140	46640
3	141	35197
4	142	28305
5	143	23712
6	148	21050
7	149	18574
8	151	16659
9	152	15135
10	154	13849
11	155	12794
12	157	11938
13	159	11230
14	162	10650
15	163	10047
16	164	9504
17	165	9019
18	166	8600
19	168	8236
20	169	7886
21	170	7565
22	177	7522
23	178	7245
24	179	7000
25	180	6762
26	181	6550
27	182	6345
28	183	6150
29	184	5967
30	185	5805
31	189	5731
32	190	5582
33	191	5448
34	193	5323
35	194	5201
36	195	5078
37	196	4962
38	197	4861
39	198	4766
40	199	4672
41	206	4712
42	207	4621
43	208	4531
44	209	4448
45	211	4382
46	212	4307
47	213	4233
48	214	4161
49	218	4156
50	221	4117
51	222	4064
52	224	4011
53	226	3975
54	228	3926
55	230	3883
56	233	3866
57	236	3846
58	237	3793
59	238	3740
60	239	3690
61	241	3647
62	242	3602
63	243	3556
64	248	3576
65	251	3556
66	252	3512
67	253	3474
68	255	3442
69	256	3402
70	256	3362
71	257	3323
72	258	3285
73	265	3319
74	266	3289
75	268	3258
76	268	3224
77	269	3190
78	270	3158
79	271	3126
80	273	3103
81	277	3104
82	278	3073
83	279	3045
84	280	3019
85	281	2994
86	282	2968
87	283	2940
88	284	2914
89	285	2889
90	286	2866
91	287	2841
92	288	2815
93	293	2830
94	295	2814
95	296	2792
96	297	2768
97	298	2749
98	299	2728
99	300	2707
100	302	2689
101	303	2669
102	304	2651
103	307	2652
104	309	2640
105	311	2624
106	312	2608
107	314	2594
108	315	2577
109	316	2559
110	320	2565
111	324	2571
112	325	2554
113	326	2536
114	327	2521
115	328	2505
116	329	2488
117	330	2472
118	331	2456
119	338	2480
120	340	2473
121	341	2457
122	342	2442
123	343	2428
124	344	2413
125	345	2398
126	346	2382
127	347	2370
128	351	2374
129	353	2364
130	354	2354
131	355	2340
132	356	2326
133	357	2312
134	358	2297
135	359	2285
136	361	2276
137	362	2264
138	368	2280
139	370	2275
140	371	2265
141	372	2251
142	374	2242
143	375	2232
144	377	2226
145	383	2242
146	384	2233
147	386	2223
148	387	2214
149	389	2206
150	390	2195
151	391	2186
152	400	2217
153	402	2209
154	403	2198
155	404	2190
156	406	2180
157	408	2174
158	410	2172
159	412	2167
160	414	2157
161	415	2148
162	416	2138
163	418	2134
164	421	2133
165	423	2127
166	428	2134
167	431	2137
168	432	2129
169	434	2121
170	435	2113
171	437	2104
172	447	2138
173	448	2129
174	450	2122
175	451	2115
176	452	2106
177	453	2096
178	463	2125
179	465	2119
180	467	2114
181	468	2106
